Received Log:

[9 jul. 2022 11:39:57 a. m.] ASCII:
#---INICIO DATOS---#
Visualiti;UNIX;RG1
ID;UXTIME;mm
M146;1654359541;0.2
M146;1654359565;0.2
M146;1654359587;0.2
M146;1654359611;0.2
M146;1654359638;0.2
M146;1654359664;0.2
M146;1654359693;0.2
M146;1654359726;0.2
M146;1654359772;0.2
M146;1654359845;0.2
M146;1654360036;0.2
M146;1654360320;0.2
M146;1654360831;0.2
M146;1654361312;0.2
M146;1654361692;0.2
M146;1654361901;0.2
M146;1654362170;0.2
M146;1654362393;0.2
M146;1654362588;0.2
M146;1654362756;0.2
M146;1654362930;0.2
M146;1654363076;0.2
M146;1654363215;0.2
M146;1654363363;0.2
M146;1654363528;0.2
M146;1654363727;0.2
M146;1654363941;0.2
M146;1654364121;0.2
M146;1654364267;0.2
M146;1654364388;0.2
M146;1654364502;0.2
M146;1654364609;0.2
M146;1654364710;0.2
M146;1654364812;0.2
M146;1654364913;0.2
M146;1654365024;0.2
M146;1654365132;0.2
M146;1654365230;0.2
M146;1654365328;0.2
M146;1654365418;0.2
M146;1654365500;0.2
M146;1654365584;0.2
M146;1654365703;0.2
M146;1654365853;0.2
M146;1654365989;0.2
M146;1654366118;0.2
M146;1654366247;0.2
M146;1654366413;0.2
M146;1654366651;0.2
M146;1654367007;0.2
M146;1654367338;0.2
M146;1654367692;0.2
M146;1654368254;0.2
M146;1654368893;0.2
M146;1654369430;0.2
M146;1654369961;0.2
M146;1654370346;0.2
M146;1654370607;0.2
M146;1654370872;0.2
M146;1654371207;0.2
M146;1654371697;0.2
M146;1654372125;0.2
M146;1654372684;0.2
M146;1654373408;0.2
M146;1654374366;0.2
M146;1654376279;0.2
M146;1654377960;0.2
M146;1654380035;0.2
M146;1654392659;0.2
M146;1654563919;0.2
M146;1654567566;0.2
M146;1654567603;0.2
M146;1654567625;0.2
M146;1654567645;0.2
M146;1654567665;0.2
M146;1654567683;0.2
M146;1654567696;0.2
M146;1654567707;0.2
M146;1654567718;0.2
M146;1654567729;0.2
M146;1654567741;0.2
M146;1654567753;0.2
M146;1654567769;0.2
M146;1654567789;0.2
M146;1654567811;0.2
M146;1654567836;0.2
M146;1654567870;0.2
M146;1654567894;0.2
M146;1654567921;0.2
M146;1654567951;0.2
M146;1654567981;0.2
M146;1654568016;0.2
M146;1654568056;0.2
M146;1654568119;0.2
M146;1654568222;0.2
M146;1654568361;0.2
M146;1654568601;0.2
M146;1654570045;0.2
M146;1654570999;0.2
M146;1654575477;0.2
M146;1654575538;0.2
M146;1654575590;0.2
M146;1654575657;0.2
M146;1654575730;0.2
M146;1654575809;0.2
M146;1654575877;0.2
M146;1654575918;0.2
M146;1654575953;0.2
M146;1654575989;0.2
M146;1654576032;0.2
M146;1654576107;0.2
M146;1654576268;0.2
M146;1654576313;0.2
M146;1654576350;0.2
M146;1654576391;0.2
M146;1654576423;0.2
M146;1654576447;0.2
M146;1654576465;0.2
M146;1654576486;0.2
M146;1654576505;0.2
M146;1654576526;0.2
M146;1654576545;0.2
M146;1654576567;0.2
M146;1654576588;0.2
M146;1654576606;0.2
M146;1654576629;0.2
M146;1654576656;0.2
M146;1654576686;0.2
M146;1654576716;0.2
M146;1654576757;0.2
M146;1654576814;0.2
M146;1654576870;0.2
M146;1654576953;0.2
M146;1654577028;0.2
M146;1654577081;0.2
M146;1654577139;0.2
M146;1654577197;0.2
M146;1654577251;0.2
M146;1654577313;0.2
M146;1654577425;0.2
M146;1654577686;0.2
M146;1654580276;0.2
M146;1654702920;0.2
M146;1654705884;0.2
M146;1654705949;0.2
M146;1654706159;0.2
M146;1654706546;0.2
M146;1654782988;0.2
M146;1654912425;0.2
M146;1654912469;0.2
M146;1654912548;0.2
M146;1654912607;0.2
M146;1654912645;0.2
M146;1654912681;0.2
M146;1654912707;0.2
M146;1654912739;0.2
M146;1654912836;0.2
M146;1654913005;0.2
M146;1654913242;0.2
M146;1654913516;0.2
M146;1654913850;0.2
M146;1654914301;0.2
M146;1654914746;0.2
M146;1654915184;0.2
M146;1654915280;0.2
M146;1654915412;0.2
M146;1654915691;0.2
M146;1654915843;0.2
M146;1654915947;0.2
M146;1654916078;0.2
M146;1654916207;0.2
M146;1654916284;0.2
M146;1654916391;0.2
M146;1654916474;0.2
M146;1654916600;0.2
M146;1654916751;0.2
M146;1654916990;0.2
M146;1654917216;0.2
M146;1654917420;0.2
M146;1654917617;0.2
M146;1654917764;0.2
M146;1654917907;0.2
M146;1654918057;0.2
M146;1654918172;0.2
M146;1654918259;0.2
M146;1654918330;0.2
M146;1654918399;0.2
M146;1654918453;0.2
M146;1654918497;0.2
M146;1654918561;0.2
M146;1654918612;0.2
M146;1654918673;0.2
M146;1654918726;0.2
M146;1654918784;0.2
M146;1654918873;0.2
M146;1654918927;0.2
M146;1654918966;0.2
M146;1654919001;0.2
M146;1654919043;0.2
M146;1654919076;0.2
M146;1654919106;0.2
M146;1654919133;0.2
M146;1654919169;0.2
M146;1654919220;0.2
M146;1654919265;0.2
M146;1654919342;0.2
M146;1654919403;0.2
M146;1654919441;0.2
M146;1654919477;0.2
M146;1654919518;0.2
M146;1654919560;0.2
M146;1654919596;0.2
M146;1654919649;0.2
M146;1654919725;0.2
M146;1654919814;0.2
M146;1654919904;0.2
M146;1654920004;0.2
M146;1654920088;0.2
M146;1654920179;0.2
M146;1654920265;0.2
M146;1654920354;0.2
M146;1654920455;0.2
M146;1654920559;0.2
M146;1654920726;0.2
M146;1654920949;0.2
M146;1654921072;0.2
M146;1654921157;0.2
M146;1654921258;0.2
M146;1654921354;0.2
M146;1654921460;0.2
M146;1654921569;0.2
M146;1654921704;0.2
M146;1654921810;0.2
M146;1654921923;0.2
M146;1654922032;0.2
M146;1654922149;0.2
M146;1654922231;0.2
M146;1654922295;0.2
M146;1654922370;0.2
M146;1654922459;0.2
M146;1654922541;0.2
M146;1654922620;0.2
M146;1654922708;0.2
M146;1654922797;0.2
M146;1654922905;0.2
M146;1654923023;0.2
M146;1654923138;0.2
M146;1654923247;0.2
M146;1654923354;0.2
M146;1654923483;0.2
M146;1654923628;0.2
M146;1654923763;0.2
M146;1654923894;0.2
M146;1654924052;0.2
M146;1654924237;0.2
M146;1654924501;0.2
M146;1654924968;0.2
M146;1654926641;0.2
M146;1654927021;0.2
M146;1654927187;0.2
M146;1654927311;0.2
M146;1654927440;0.2
M146;1654927538;0.2
M146;1654927585;0.2
M146;1654927628;0.2
M146;1654927658;0.2
M146;1654927688;0.2
M146;1654927713;0.2
M146;1654927734;0.2
M146;1654927758;0.2
M146;1654927782;0.2
M146;1654927810;0.2
M146;1654927841;0.2
M146;1654927865;0.2
M146;1654927887;0.2
M146;1654927907;0.2
M146;1654927928;0.2
M146;1654927952;0.2
M146;1654927984;0.2
M146;1654928031;0.2
M146;1654928114;0.2
M146;1654928322;0.2
M146;1654928694;0.2
M146;1654929003;0.2
M146;1654929163;0.2
M146;1654929304;0.2
M146;1654929437;0.2
M146;1654929574;0.2
M146;1654929755;0.2
M146;1654929959;0.2
M146;1654930125;0.2
M146;1654930266;0.2
M146;1654930420;0.2
M146;1654930576;0.2
M146;1654930743;0.2
